"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"1","","0","Purchase a colour tester","0","0","Desktop customer adds a tester from the colour finder","0"
"0","","0","Open the Dulux Visualizer experience","1","0","Desktop customer opens the Visualizer for a shade","0"
