"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"  To try a paint colour at home before buying a full tin
  As a Dulux customer
  I want to add a tester for a chosen shade to my basket","44242","Desktop customer adds a tester from the colour finder","","2026-09-04","broken","2026-09-04","","Purchase a colour tester","Desktop customer adds a tester from the colour finder",""
"  To preview a colour before making a purchase decision
  As a Dulux customer
  I want to open the Visualizer from a selected shade page","6168","Desktop customer opens the Visualizer for a shade","","2026-09-04","passed","2026-09-04","","Open the Dulux Visualizer experience","Desktop customer opens the Visualizer for a shade",""
